ID,cobertura,longitude,latitude,cell_number
33,Pastagem regular,-52.75013294,-19.00463176,250650095
40,Pastagem regular,-51.85351423,-19.26749374,253371114
37,Pasto com muitos cupins,-51.81099564,-19.46747145,255422375
119,Pasto com muitos cupins,-49.16364571,-17.74997883,237739793
46,Pasto com solo exposto,-51.89300897,-19.66425956,257473576
48,Pasto com solo exposto,-52.3975776,-20.03363817,261295119
34,Pasto sujo,-52.40070739,-20.02810036,261230340
47,Pasto sujo,-51.89556662,-19.66336729,257473574
133,Regeneracao,-49.45380241,-19.554161,256351958
134,Regeneracao,-49.45380241,-19.554161,256330365
